year,energy_clean_share_electricity_india
2000,16.81
2001,16.22
2002,15.11
2003,14.54
2004,18.68
2005,17.77
2006,19.5
2007,20.04
2008,18.61
2009,17.08
2010,17.58
2011,19.78
2012,17.91
2013,18.95
2014,18.53
2015,17.55
2016,17.15
2017,18.01
2018,18.78
2019,20.44
2020,21.86
2021,21.41
2022,22.75
2023,21.8
2024,22.49
2025,26.65
