year,science_openalex_field_environmental_science_index_world
2000,100
2001,93.9
2002,104.7
2003,113.2
2004,122.9
2005,134.9
2006,147.7
2007,160
2008,175.3
2009,192.2
2010,210.5
2011,220.3
2012,236.3
2013,250.3
2014,263.5
2015,262.6
2016,279.3
2017,272.1
2018,289.5
2019,325.9
2020,392.9
2021,401.3
2022,426.6
2023,434.3
2024,339.8
