year,economy_poverty_830_world
1990,70.3652560710907
1991,70.72911262512207
1992,71.15143537521362
1993,71.70736789703369
1994,71.84489965438843
1995,71.24446630477905
1996,71.32081389427185
1997,70.882648229599
1998,70.80671787261963
1999,71.32813334465027
2000,70.56939005851746
2001,69.9881911277771
2002,69.28337216377258
2003,68.6668336391449
2004,67.39833950996399
2005,66.22570753097534
2006,64.98082280158997
2007,63.625407218933105
2008,62.54873275756836
2009,61.73959970474243
2010,60.20806431770325
2011,58.80172848701477
2012,57.52484202384949
2013,55.82935810089111
2014,54.65438961982727
2015,53.45369577407837
2016,52.39957571029663
2017,51.472073793411255
2018,50.36712884902954
2019,49.61833357810974
2020,50.44407248497009
2021,48.7332820892334
2022,48.26865792274475
2023,47.02545404434204
2024,46.070870757102966
2025,45.21443843841553
2026,44.38435733318329
