year,energy_wind_solar_share_electricity_world
2000,0.21
2001,0.26
2002,0.34
2003,0.39
2004,0.51
2005,0.6
2006,0.74
2007,0.91
2008,1.16
2009,1.48
2010,1.78
2011,2.29
2012,2.78
2013,3.31
2014,3.81
2015,4.52
2016,5.21
2017,6.23
2018,6.97
2019,7.9
2020,9.15
2021,10.3
2022,11.9
2023,13.43
2024,15.05
2025,17.3
