year,science_openalex_field_social_sciences_world
2000,0.44
2001,0.46
2002,0.51
2003,0.56
2004,0.61
2005,0.66
2006,0.73
2007,0.87
2008,0.91
2009,1.02
2010,1.16
2011,1.24
2012,1.32
2013,1.44
2014,1.57
2015,1.58
2016,1.71
2017,1.76
2018,1.72
2019,1.76
2020,1.82
2021,1.55
2022,1.37
2023,1.48
2024,1.44
