year,transport_ev_fleet_share_united_states
2010,0.0017999999690800905
2011,0.009999999776482582
2012,0.03500000014901161
2013,0.07900000363588333
2014,0.12999999523162842
2015,0.18000000715255737
2016,0.25
2017,0.3199999928474426
2018,0.46000000834465027
2019,0.6000000238418579
2020,0.7300000190734863
2021,0.8799999952316284
2022,1.2000000476837158
2023,1.899999976158142
2024,2.5
2025,3
