year,transport_ev_sales_share_china
2010,0.009999999776482582
2011,0.03400000184774399
2012,0.0729999989271164
2013,0.09600000083446503
2014,0.4099999964237213
2015,1.100000023841858
2016,1.5
2017,2.4000000953674316
2018,4.699999809265137
2019,5
2020,5.699999809265137
2021,16
2022,29
2023,38
2024,48
2025,53
