year,air_pollution_pm25_exposure_world
1998,24.423094
1999,23.675999
2000,27.297579
2001,28.323208
2002,29.009354
2003,30.488817
2004,30.385767
2005,31.140463
2006,32.437447
2007,33.095463
2008,33.61173
2009,33.221035
2010,33.332565
2011,35.008305
2012,33.69053
2013,34.075886
2014,34.70447
2015,35.889328
2016,35.07474
2017,34.270584
2018,33.41035
2019,32.18141
2020,30.161303
2021,30.902021
2022,30.40424
2023,30.056519
2024,29.901594
