year,transport_ev_phev_share_china
2010,0.00236111
2011,0.002125
2012,0.00192495
2013,0.00445518
2014,0.132973
2015,0.3180095
2016,0.35
2017,0.4551724
2018,1.16422
2019,1.074766
2020,1.090435
2021,2.707692
2022,7.25
2023,12.5122
2024,20.81416
2025,20.32331
