year,violence_nonstate_deaths_world
1989,4170
1990,5251
1991,3860
1992,10458
1993,14722
1994,5299
1995,4469
1996,4196
1997,4306
1998,3523
1999,6087
2000,7428
2001,5126
2002,6391
2003,3564
2004,4161
2005,2192
2006,3075
2007,4208
2008,6188
2009,9435
2010,8804
2011,9363
2012,10067
2013,9603
2014,19539
2015,15809
2016,17118
2017,31051
2018,27872
2019,19032
2020,20676
2021,21908
2022,19742
2023,19142
2024,17725
2025,14483
