year,transport_ev_stock_china
2010,1900
2011,7000
2012,17000
2013,32000
2014,86000
2015,300000
2016,630000
2017,1200000
2018,2300000
2019,3300000
2020,4400000
2021,7700000
2022,13000000
2023,21000000
2024,32000000
2025,44000000
