year,transport_ev_phev_share_world
2010,0.00072483
2011,0.01322449
2012,0.08571429
2013,0.1312935
2014,0.1733333
2015,0.2484615
2016,0.3775641
2017,0.5133333
2018,0.7609756
2019,0.7528846
2020,1.44698
2021,2.677273
2022,4.264706
2023,5.518248
2024,7.8
2025,8.490566
