year,health_maternal_mortality_wb_sas
1985,697
1986,659
1987,633
1988,607
1989,585
1990,567
1991,555
1992,534
1993,522
1994,509
1995,496
1996,481
1997,466
1998,451
1999,432
2000,415
2001,396
2002,376
2003,357
2004,338
2005,318
2006,296
2007,278
2008,259
2009,243
2010,229
2011,215
2012,203
2013,192
2014,182
2015,173
2016,163
2017,155
2018,148
2019,142
2020,145
2021,194
2022,130
2023,120
