year,work_working_poverty_world
2000,34.727
2001,33.561
2002,32.179
2003,30.22
2004,28.133
2005,25.963
2006,24.687
2007,23.039
2008,21.962
2009,20.897
2010,18.853
2011,17.091
2012,15.719
2013,13.21
2014,12.123
2015,10.989
2016,10.207
2017,9.588
2018,8.986
2019,8.602
2020,9.264
2021,8.907
2022,8.592
2023,8.302
2024,8.088
2025,7.903
