year,transport_ev_sales_share_netherlands
2010,0.02500000037252903
2011,0.1599999964237213
2012,1
2013,5.5
2014,3.9000000953674316
2015,3.5
2016,11
2017,6.400000095367432
2018,6.199999809265137
2019,15
2020,25
2021,29
2022,35
2023,44
2024,48
2025,58
