year,technology_internet_users_sas
2005,2.1
2006,2.6
2007,3.7
2008,4.1
2009,4.9
2010,7.1
2011,9.4
2012,10.4
2013,11.7
2014,13
2015,14.7
2016,16.7
2017,18.8
2018,20.9
2019,29.7
2020,42.5
2021,48
2022,54.2
2023,58.3
2024,62.8
