year,transport_ev_fleet_share_world
2010,0.004600000102072954
2011,0.010999999940395355
2012,0.024000000208616257
2013,0.04399999976158142
2014,0.07400000095367432
2015,0.11999999731779099
2016,0.1899999976158142
2017,0.2800000011920929
2018,0.4399999976158142
2019,0.6000000238418579
2020,0.8299999833106995
2021,1.2999999523162842
2022,2
2023,3
2024,4.199999809265137
2025,5
